2	250	Blocking	52557918	12042876	0.22913533218724533
2	250	NonBlocking	53066870	12105373	0.22811545131642397
2	500	Blocking	343563397	97567107	0.2839857442671636
2	500	NonBlocking	343484269	97172158	0.2829013342675091
2	750	Blocking	1226994956	357898722	0.2916871990792438
2	750	NonBlocking	1236751845	363823364	0.294176528194304
2	1000	Blocking	2962151245	995774062	0.33616584017471396
2	1000	NonBlocking	3108788967	1009468748	0.32471446557343625
2	1250	Blocking	14914105808	3998045862	0.26807144279849676
2	1250	NonBlocking	12347506423	5706464539	0.46215521932188913
2	1500	Blocking	18686069217	6141057926	0.32864364648789046
2	1500	NonBlocking	22075922248	9154272694	0.4146722656096211
2	1750	Blocking	40761951330	13042587637	0.3199696582582618
2	1750	NonBlocking	41345363340	12923009719	0.312562490084529
2	2000	Blocking	47912119293	14095188823	0.2941883813738817
2	2000	NonBlocking	46887308639	19081910830	0.40697389941737916
3	250	Blocking	42250308	32187055	0.7618182333724053
3	250	NonBlocking	41926593	33290940	0.7940292215014942
3	500	Blocking	331887398	194257384	0.5853111180798736
3	500	NonBlocking	333349773	193701534	0.581075943915522
3	750	Blocking	1196593310	665441323	0.556113190203278
3	750	NonBlocking	1154876990	668433680	0.5787921014860639
3	1000	Blocking	2726036989	1720541804	0.6311513053354244
3	1000	NonBlocking	2758988424	1726719528	0.6258524004593649
3	1250	Blocking	5365310659	5753775514	1.072403049830558
3	1250	NonBlocking	4548614557	3983972288	0.8758649997874507
3	1500	Blocking	13061299106	7328847299	0.5611116658092096
3	1500	NonBlocking	11979875648	9109683290	0.7604155132879723
3	1750	Blocking	15860502481	12996565453	0.8194296157116815
3	1750	NonBlocking	17171699194	18447249801	1.0742821425293598
3	2000	Blocking	26568240174	19404561220	0.7303668249351922
3	2000	NonBlocking	17619376664	12486215866	0.7086638820493519
4	250	Blocking	32942448	12139116	0.368494654677758
4	250	NonBlocking	20889754	26945811	1.2899056159301827
4	500	Blocking	141202145	143480407	1.016134754893419
4	500	NonBlocking	141370089	131730760	0.9318149329311096
4	750	Blocking	497412548	442465081	0.8895334120119543
4	750	NonBlocking	524441716	441015769	0.8409242734611142
4	1000	Blocking	1308788097	1263408756	0.9653272052947163
4	1000	NonBlocking	1214010879	1181031893	0.9728346865992129
4	1250	Blocking	3403976559	4302110898	1.2638485675306321
4	1250	NonBlocking	3376906334	4269818316	1.2644171598749472
4	1500	Blocking	5667223279	6779935912	1.196341767073688
4	1500	NonBlocking	8426701740	9251322614	1.0978580824910031
4	1750	Blocking	10817589118	18280548601	1.6898911949412054
4	1750	NonBlocking	14993049410	18746204679	1.2503263456529887
4	2000	Blocking	17836913401	15146810707	0.8491833966156284
4	2000	NonBlocking	15042749362	19292376511	1.2825033540567476
5	250	Blocking	18152994	33468622	1.843697078289124
5	250	NonBlocking	15785947	27036892	1.712719040549167
5	500	Blocking	91926606	117828716	1.2817694585613222
5	500	NonBlocking	92035760	114027336	1.2389459922969073
5	750	Blocking	321521198	383177575	1.1917645784586806
5	750	NonBlocking	543989840	390149857	0.7172006319088606
5	1000	Blocking	1377612662	1707339419	1.239346491285371
5	1000	NonBlocking	1414598393	1714558051	1.2120458071240012
5	1250	Blocking	3736837458	5722962588	1.531498935215394
5	1250	NonBlocking	3757574736	5718114239	1.5217566224875747
5	1500	Blocking	6151892241	9166900113	1.4900943894800578
5	1500	NonBlocking	3759597710	6984741776	1.8578428637249063
5	1750	Blocking	11312984194	18817246892	1.663331846780091
5	1750	NonBlocking	8499597450	17114017611	2.0135091940148295
5	2000	Blocking	14050834489	19340700730	1.3764805745268216
5	2000	NonBlocking	13278975224	15177180373	1.1429481655760034
6	250	Blocking	18764729	41514913	2.212390757148691
6	250	NonBlocking	18618816	31854263	1.7108640527947643
6	500	Blocking	133362702	192107012	1.440485301505064
6	500	NonBlocking	195860663	191219772	0.9763051399453294
6	750	Blocking	456006660	678106622	1.4870542066205787
6	750	NonBlocking	455584931	664458063	1.458472433540608
