433,1043,200,2,BLOCK_STRIPED
408,491,200,2,FOX
660,689,200,2,SINGLE
280,322,200,3,BLOCK_STRIPED
364,419,200,3,FOX
646,681,200,3,SINGLE
239,275,200,4,BLOCK_STRIPED
236,275,200,4,FOX
671,731,200,4,SINGLE
239,275,200,5,BLOCK_STRIPED
248,282,200,5,FOX
652,708,200,5,SINGLE
235,271,200,6,BLOCK_STRIPED
263,284,200,6,FOX
655,685,200,6,SINGLE
240,272,200,7,BLOCK_STRIPED
256,289,200,7,FOX
648,689,200,7,SINGLE
236,277,200,8,BLOCK_STRIPED
276,306,200,8,FOX
665,680,200,8,SINGLE
266,302,200,9,BLOCK_STRIPED
250,285,200,9,
