MillisServer,MillisClient,Size,ThreadsNum,AlgType
78608,81185,1000,12,SINGLE
102804,99285,1200,2,BLOCK_STRIPED
91509,92486,1200,2,FOX
153135,153185,1200,2,SINGLE
81594,82186,1200,3,BLOCK_STRIPED
79080,101945,1200,3,FOX
153278,170945,1200,3,SINGLE
74299,70916,1200,4,BLOCK_STRIPED
56703,59761,1200,4,FOX
152972,152920,1200,4,SINGLE
68175,63690,1200,5,BLOCK_STRIPED
54993,54207,1200,5,FOX
152555,163208,1200,5,SINGLE
66607,61522,1200,6,BLOCK_STRIPED
54411,53220,1200,6,FOX
153932,159445,1200,6,SINGLE
67498,63183,1200,7,BLOCK_STRIPED
55969,62161,1200,7,FOX
152553,152404,1200,7,SINGLE
66021,61549,1200,8,BLOCK_STRIPED
58523,60364,1200,8,FOX
152469,161032,1200,8,SINGLE
54737,54433,1200,9,BLOCK_STRIPED
47481,47903,1200,9,FOX
152511,152855,1200,9,SINGLE
51118,50839,1200,10,BLOCK_STRIPED
47439,47825,1200,10,FOX
152635,154511,1200,10,SINGLE
51167,53693,1200,11,BLOCK_STRIPED
48844,48830,1200,11,FOX
153093,157031,1200,11,SINGLE
51419,51286,1200,12,BLOCK_STRIPED
49462,50673,1200,12,FOX
152322,158704,1200,12,SINGLE
143736,142378,1400,2,BLOCK_STRIPED
137208,149000,1400,2,FOX
246258,246212,1400,2,SINGLE
133153,121625,1400,3,BLOCK_STRIPED
155563,138663,1400,3,FOX
245611,245065,1400,3,SINGLE
117014,113776,1400,4,BLOCK_STRIPED
91659,91905,1400,4,FOX
245822,245605,1400,4,SINGLE
106099,104164,1400,5,BLOCK_STRIPED
87494,84623,1400,5,FOX
244997,249063,1400,5,SINGLE
103529,100228,1400,6,BLOCK_STRIPED
85624,88985,1400,6,FOX
244626,248336,1400,6,SINGLE
106381,104082,1400,7,BLOCK_STRIPED
92487,89396,1400,7,FOX
244582,253671,1400,7,SINGLE
105084,102934,1400,8,BLOCK_STRIPED
99467,99053,1400,8,FOX
249360,245226,1400,8,SINGLE
87485,80966,1400,9,BLOCK_STRIPED
76518,77434,1400,9,FOX
244849,261729,1400,9,SINGLE
82414,83999,1400,10,BLOCK_STRIPED
74930,75183,1400,10,FOX
244915,259849,1400,10,SINGLE
84289,85518,1400,11,BLOCK_STRIPED
77444,76249,1400,11,FOX
246707,256199,1400,11,SINGLE
87014,86288,1400,12,BLOCK_STRIPED
80188,74613,1400,12,FOX
245385,258988,1400,12,SINGLE
